,sym,date,time,price,size,cond,cancelled,exchTime,exchDate,exch
102,0005.HK,2019-09-04,09:30:08.003,56.3,1200,,0,09:30:08.000,2019-09-04,HKG
103,0005.HK,2019-09-04,09:30:08.003,56.3,4800,,0,09:30:08.000,2019-09-04,HKG
104,0005.HK,2019-09-04,09:30:08.003,56.3,800,,0,09:30:08.000,2019-09-04,HKG
105,0005.HK,2019-09-04,09:30:08.006,56.25,400,,0,09:30:08.000,2019-09-04,HKG
106,0005.HK,2019-09-04,09:30:08.013,56.25,400,,0,09:30:08.000,2019-09-04,HKG
107,0005.HK,2019-09-04,09:30:08.013,56.3,1200,,0,09:30:08.000,2019-09-04,HKG
108,0005.HK,2019-09-04,09:30:08.640,56.3,4000,,0,09:30:08.000,2019-09-04,HKG
109,0005.HK,2019-09-04,09:30:08.640,56.3,2000,,0,09:30:08.000,2019-09-04,HKG
110,0005.HK,2019-09-04,09:30:08.652,56.4,800,,0,09:30:08.000,2019-09-04,HKG
111,0005.HK,2019-09-04,09:30:09.494,56.45,4400,,0,09:30:09.000,2019-09-04,HKG
112,0005.HK,2019-09-04,09:30:09.494,56.45,10000,,0,09:30:09.000,2019-09-04,HKG
113,0005.HK,2019-09-04,09:30:09.494,56.45,400,,0,09:30:09.000,2019-09-04,HKG
114,0005.HK,2019-09-04,09:30:09.494,56.45,800,,0,09:30:09.000,2019-09-04,HKG
115,0005.HK,2019-09-04,09:30:09.873,56.45,400,,0,09:30:09.000,2019-09-04,HKG
116,0005.HK,2019-09-04,09:30:09.973,55.5,194,D,0,09:30:09.000,2019-09-04,HKG
117,0005.HK,2019-09-04,09:30:10.076,56.45,14800,,0,09:30:10.000,2019-09-04,HKG
118,0005.HK,2019-09-04,09:30:10.228,56.5,6800,,0,09:30:10.000,2019-09-04,HKG
119,0005.HK,2019-09-04,09:30:10.560,56.5,10800,,0,09:30:10.000,2019-09-04,HKG
120,0005.HK,2019-09-04,09:30:15.078,56.5,400,,0,09:30:15.000,2019-09-04,HKG
121,0005.HK,2019-09-04,09:30:15.078,56.5,2800,,0,09:30:15.000,2019-09-04,HKG
